Generation,Individual
1,"[4.34948771215955, -1.9402338553169811, -0.27667088998296774, 5.568501352493756, -0.8150889984316527, -0.6685394106835778, 3.869168151640034, 5.409424097559589, 3.8633197597078928, -0.5218383576157124, 3.416465643092538, -1.8173036670814475, 5.636978493943013, -1.5841157733122906, 5.728331927226663, 5.663569906824073, -0.16422043687796184, 4.869306464737914, 3.121356590525981, 6.461143148482292, 4.674219627877639, 4.875695300917904, 4.850193660001556, -1.7079910723961138, 7.229202892208466, -0.36317616863961466, 7.7246526564575495, 2.4509797345151485, 5.802838793366323, 6.371973379518507, 5.0039344289446905, -0.1928866956650479, 2.8413940769214836, 2.9238184797397646, 5.610419920200856, 4.8543980825109365, 4.210170493071944, 3.5357905431219367, -0.4617268519979749, -0.6089439393266554, 3.2200838856374236, -0.6138487391537146, 2.340639977923452, 6.760832815075265, 3.1354893487125595, 0.19102896334579356, -0.8659658010743181, 0.17716334200013573, -0.5567093001608296, 4.386256233696116, 4.775334062635864, 2.4986647808082973, -0.3981738716920995, 6.3589228115172505, -0.8018189877866493, -0.08935302514495413, -1.441158901769312, 4.1665001551455445, 5.81792044228521, 6.057240918937488, 0.3667798426411144, -0.4807332647660514, 6.59481177004935, 4.349948611299057, 4.258634925850613, 7.503529658981496, 5.988727094196866, 5.459183315405979, 7.424333303081799, 6.985638669988383, 7.709389264142519, 6.570041419024128, 7.592531853571383, 4.029181900121451, -1.0769641504229086, 7.745476622483089, 6.995669086746589, -0.6060997208975831, 5.392236375803254, -1.7174187247388772, 5.230470971829618, 5.302461750132516, 4.920737163511341, -0.5342192503378578, -0.5677675649370633, -0.5806137321570652, 5.434318567152083, -0.6701506525412608, -0.39637006419885923, 4.798066861000399, 5.492304801901229, -1.9658268301360209, 3.318010152328947, -0.8249315073083279, -1.9312611008580698, 4.727098269829554, 3.2177491676102132, 5.544605154592917, 3.199451263219319, -0.2524199281429822]"
2,"[-0.9095934164086819, 5.49178825342967, 0.19488544852951106, 6.340351903255736, -0.0660576473001937, 0.5700143845928891, -1.5557589606793853, 0.3636944643953093, 6.431212610558514, -0.8468345096894985, 5.201725967446387, -1.9633646281944044, -0.38917246497978275, -1.713204226976535, 4.856436368285998, 5.279467169055295, 5.177038280721513, -0.14426142241479312, 5.177218720340136, 5.407761203308706, -1.0687196790745273, -1.7273421723962616, 5.937124364306892, -0.9259256644843943, -0.634988610377651, 4.444937647514406, 3.0200827540606023, 6.481466156235927, -0.38777028534065106, -1.0480198635554867, 1.3467974670518619, 0.699248743311844, 0.12177000762713686, -0.6677550883616528, 6.920167183628937, 4.846632410403893, 4.204786500044898, 4.65883224979797, 5.332041781063811, -1.5737025048906987, -0.7716948981474319, -1.2127571847138234, 5.911550872914688, 4.821890558631331, 0.1993446458781689, -1.3095438668396484, 3.696136798822815, 5.249214199810598, 4.991634287525388, 2.5463019241184135, 3.5631779851071874, -1.6969269896357018, 6.384425539098768, 6.2471921014488165, 0.6295550564319703, 4.418230352601476, 5.4202326135368075, 5.329200490430936, -1.0089183978777343, -1.8324269325716842, -0.36304062895841804, -1.4706831127678648, 5.664688870692526, 7.129412585057456, 5.242553598486645, 0.3416868406789366, 7.434997911629042, 0.6524547494443484, 5.364513166570789, 6.536185397580891, -0.7757383619654192, 4.875494835340422, -1.0907070704234967, 4.794510448072552, -1.9882243648103695, -1.1870952268965558, 0.33129210280189325, -0.5891281634701712, -1.914405234058291, 6.502343923690781, 5.230470971829618, 5.0039344289446905, 5.302461750132516, 4.920737163511341, 5.392236375803254, 4.875695300917904, 5.409424097559589, -0.5567093001608296, 4.869306464737914, -0.5342192503378578, -0.5677675649370633, -0.5218383576157124, -0.5806137321570652, -0.6060997208975831, -0.6089439393266554, -0.6138487391537146, -0.4807332647660514, 4.8543980825109365, -0.4617268519979749, 4.850193660001556]"
3,"[5.1298775807811285, 4.839955585279661, -0.7844577264994494, 5.243125959483779, -0.7129797273336607, 6.446890819002115, 5.074107575287616, -1.648259902406332, -1.0537608993990002, -1.9872432674078104, 5.220091220558645, 4.196504786911913, 4.830256882834204, 5.45868261873076, 4.550763249424542, 5.330357902462761, 5.040975061975387, -0.8405676806189195, 5.373244604207493, -0.5402114958486617, 1.155358043411748, -0.9782847361100306, 4.719114359578031, -1.6704413709013464, 4.718599771816698, -1.9954873089625083, -1.2614067029922016, -1.5348816479754572, 5.253958159954465, 5.609202704411894, 5.134891921721964, 4.624860925495275, -0.458046151402855, -0.5031465412734075, -1.5357300584725286, 4.508679600468485, 4.314615651282335, -1.4427008089494404, -1.7479681987519793, 0.6315796222245834, 5.468009807094259, 5.4541228139781115, 5.537129811754911, 5.600933160404457, 4.968860527354817, 4.680382387103895, -1.2903316546412662, 6.777896310413665, 6.397280750574388, -0.753462048504598, 5.601062274864219, 6.398172821046051, 5.387928429700901, -0.07588038524040908, -0.8200065954161633, 5.943288309890346, 4.679386375161549, -0.14413363360993436, -0.9934563767332398, 5.848997405790694, -0.9414473328836583, 3.203655356607042, 4.778985402124186, -0.8000277988570821, -0.8284399951204527, -0.5474713763294706, 4.359657517404697, 5.1124448270736575, 1.2895721791175858, 4.975832298517194, -1.9431657631858716, -0.6819882510400515, -1.879023623516896, 6.158415282553768, -0.6581372755085151, -0.9354877410189137, -1.169720320770941, 4.9598887983383895, 0.7566667085398179, -0.5365060873249926, 5.177038280721513, 5.177218720340136, 5.201725967446387, 5.230470971829618, 5.242553598486645, 5.249214199810598, 5.279467169055295, 5.0039344289446905, 4.991634287525388, 5.302461750132516, 5.329200490430936, 5.332041781063811, 5.364513166570789, 4.920737163511341, 5.392236375803254, 4.875695300917904, 4.875494835340422, 5.407761203308706, 5.409424097559589, -0.5567093001608296]"
4,"[6.822015479731004, 4.7682549325057275, 7.102420161892415, 4.07826368323093, 3.767749431019813, 5.156505500030624, 4.167164016806845, -1.0958228564774493, 4.956592651590203, -0.8745431977771294, 5.307694549524316, 5.278643205299279, 5.895149927891505, -0.9165758765189365, 5.55074345750834, 6.028601063604173, -0.5769440224154431, -0.642197965536097, 5.433778522252652, 5.809388551063941, -1.5857986371584791, 5.591278590311433, 2.2216400077611, -1.3292048300483221, 4.600433125816675, 5.887493065749702, 5.507716809431994, -0.707357965055408, 5.877888253534294, 5.928151748813878, 5.042215197184607, 0.7466139094000963, 4.8392018207392375, 4.82657966327554, 5.2970846762627435, 6.941375282075942, 5.38976767063597, 5.19367919120036, 5.13087295830263, 6.360029199662598, 5.638450569333793, 4.509204091684349, 4.972432819725097, 5.871899446159675, 5.2856695339154145, -1.4108760275449599, -1.9956728203141054, 5.645087439710549, 4.80808386590641, 5.2196117612704835, 5.798180153406736, 6.1785687835545176, 5.2563072177983825, 6.599101360090883, 4.682858319450554, 4.984917851411171, 4.75819472768376, -1.7729317441284604, 3.208961014288957, 5.038299281991559, 4.040972790507465, 4.299729048604841, -0.6137567507077581, 4.6478507553035575, 5.369698364069602, -0.1721558107097647, 4.319669628554455, 0.8064794189622955, 6.6643630319739735, 5.383748533797194, 5.571508598025054, 5.445355912006196, -1.4906363946349752, -1.2937003168809946, 4.948438844134534, 6.093238820017232, 3.7864487178667527, 7.496328682524678, 5.640014720276956, 4.87203648817294, 5.134891921721964, 5.1298775807811285, 5.177038280721513, 5.177218720340136, 5.1124448270736575, 5.201725967446387, 5.074107575287616, 5.220091220558645, 5.230470971829618, 5.242553598486645, 5.243125959483779, 5.040975061975387, 5.249214199810598, 5.253958159954465, 5.279467169055295, 5.0039344289446905, 4.991634287525388, 5.302461750132516, 4.975832298517194, 4.968860527354817]"
5,"[5.428025522261474, 4.119611461748579, -0.46206076146258357, 5.024222861894367, 4.603582731257872, 4.749122431534911, 4.80175441540071, 5.872353656690838, 5.6795464917472325, 0.09381324920094314, 5.010283780358887, -1.8929466148152323, 5.092874044716442, -1.97288556309456, 5.288834285184344, -1.0941528545475439, 5.60534037250523, 4.751281533131667, 4.302082344841907, 4.941586700321546, 5.890933879571978, 5.091900241082566, 5.292568631576853, 5.246850033522906, 3.790269325755489, 5.013193519310934, 5.705761136465567, 4.88924049678194, -1.619007115568102, 5.414053863424703, 5.07962154586003, 5.417380098494809, 6.95258916132961, 5.760368261457305, 4.713725357122156, 6.328645901953768, 4.819575890053718, 5.145824087872295, 5.17055600622632, 5.039535890193692, 7.279162404985243, 5.39384315464104, 4.742728838795729, 3.0826407964155003, 5.047606849036532, 5.451410358160546, 5.6423307110419145, 4.7483641830115655, 5.268765660005545, -1.0869170220455133, 5.799074699001027, 4.132816187423487, -1.157394647954492, 5.836983890179056, -1.2483042511878515, 5.527369703670754, 3.901855645944563, 5.318745468255061, 4.8906267273036805, 6.541012291412608, 6.437168727924261, 6.004163665618764, -0.7325502390984162, 5.284326560823438, 4.916786638023603, 3.8494217485938647, 5.70747888773313, 5.073607931861041, 5.663990823308897, -0.8036624485856887, 4.069974155561054, 5.0669940020625726, 5.337516216869929, 5.181121360039666, 5.579044418019414, 5.965879804964048, 5.540454972363744, 5.203885429156802, 4.724951257643577, 5.482207842332436, 5.156505500030624, 5.134891921721964, 5.13087295830263, 5.1298775807811285, 5.177038280721513, 5.177218720340136, 5.1124448270736575, 5.19367919120036, 5.201725967446387, 5.074107575287616, 5.2196117612704835, 5.220091220558645, 5.230470971829618, 5.242553598486645, 5.243125959483779, 5.042215197184607, 5.040975061975387, 5.249214199810598, 5.038299281991559, 5.253958159954465]"
6,"[5.561062040078628, 5.53002100405946, 4.622308955380904, 5.646810488512887, -0.42290388338157525, 4.930199051146806, 0.6346965967969631, 5.266749290639482, 5.152172066168404, 5.065991448642409, 4.462352286327217, 5.504665324553654, 5.394969672502635, 4.006102622848842, 4.527337024087725, 5.230464845008089, 5.332655615071234, 4.707862675855223, 4.632413451874137, 4.369440669414038, 4.882125024610665, 5.554956609214876, 4.340808411784282, 5.999793243054697, 5.104157098840645, 7.640688733961214, 5.228229240038788, 4.7622003592186335, 5.264235858516704, 5.444192591297734, 4.95682205631239, 4.447916511624888, 4.655495036020945, 4.945193194959151, 4.81855454937837, 5.300582889348837, 4.4525246849428015, 4.515139440890745, 5.510409013171083, -0.477417959754199, 5.0626254948721225, 4.1975688698458775, 5.785812220091263, 3.9607233816980676, 4.2093867943394185, 4.936615171518208, 4.961407152166871, 2.704040348916072, 5.377324902640941, 5.763076554454395, 5.16211389993765, 5.221476821655354, 4.528632334313364, 5.424307280100407, 4.375745548846781, 5.087478024557863, 5.9697514671795355, 5.542225280352047, -1.6257163888246944, 5.9813748126281725, 5.947420169078221, 5.377509625682581, 4.090805014637312, 5.763253097150901, 4.743162523302431, 5.146096539077341, 5.298900182773207, 5.794859331569951, 5.03950701132688, 5.859048388480234, 5.066881681671949, -1.5168937668941613, 4.77083357634464, 4.962404190679838, -0.66397659983251, 5.038158377802874, 4.902745967565008, 4.6513456357949465, 5.23285355912318, 4.535959443072021, 5.145824087872295, 5.156505500030624, 5.134891921721964, 5.13087295830263, 5.1298775807811285, 5.17055600622632, 5.177038280721513, 5.177218720340136, 5.1124448270736575, 5.181121360039666, 5.19367919120036, 5.092874044716442, 5.091900241082566, 5.201725967446387, 5.203885429156802, 5.07962154586003, 5.074107575287616, 5.073607931861041, 5.2196117612704835, 5.220091220558645]"
7,"[-1.7828297692403212, 4.699871298992521, 5.3820553983343435, -0.6478247763599567, 4.841820817947347, 4.887229460910003, 5.121915710643214, 5.0608045230596685, 4.422205863091634, 7.177567833083757, 4.886956458521117, 5.368078631140319, 5.456136891129846, 4.922831493509432, 4.6021639294876975, 4.569553143037219, 5.410022056216481, 6.072260136613998, 4.602091815531068, 3.8252820592069656, 5.423059719128591, 7.218851007077257, 5.9420219240788015, 4.091113562757785, 5.614899346732335, 5.785229414085102, 4.803929769018919, 4.603450386201448, 5.481048015095567, 4.3620655506701125, 5.217572305641127, 5.295762800383253, 3.7700071561893944, 5.060346717424851, 4.666883150070048, 4.98879973328847, 4.897078807585953, 5.0528490764949225, 4.8434712045072885, 4.375737081172345, 6.007763197531545, 5.154163951094372, 5.581065085679722, 4.540139946402122, 5.421382428432926, 3.5085205135301063, 5.558082385595409, 5.289979642220076, 4.989574555492822, 5.383097962626628, 5.584614969971086, 4.288808922369784, 5.691829812817601, 4.084054654951629, 3.628232592798926, 5.301352406318871, 6.36704217582344, 5.5558322500665, 4.71209553783259, 5.0287374245402106, 6.093744152526213, 5.609925698072093, 5.610995818575914, 6.47190841899975, -0.6799300819797662, 5.1618879691680135, 5.317762737646285, 6.283439959219651, 5.537582038007662, 5.675685331184083, 5.390922339438404, 5.255839103663467, 4.9854132246861305, 5.088552351812803, 6.483809483742112, 4.941393702350679, 6.058551117379304, 4.286115823142984, 4.340781210657366, 5.100935688751361, 5.145824087872295, 5.146096539077341, 5.152172066168404, 5.156505500030624, 5.134891921721964, 5.13087295830263, 5.1298775807811285, 5.16211389993765, 5.17055600622632, 5.177038280721513, 5.177218720340136, 5.1124448270736575, 5.181121360039666, 5.104157098840645, 5.19367919120036, 5.092874044716442, 5.091900241082566, 5.201725967446387, 5.087478024557863, 5.203885429156802]"
8,"[4.923438802912769, 5.5764493024732324, 5.235499407881793, 5.108111917564875, 5.306250426854255, 4.8809555672842535, 4.911621475806391, 5.215041051741241, 5.479219203851894, 5.21758291843828, 5.7811926119429815, 6.068475655237612, 4.730822933192774, 4.645094346804597, 5.440043522209805, 3.9456073629316157, 4.875418272710961, 5.711652421362451, 4.781639758766865, 5.0354582565014825, 4.278140012392846, 5.318257053832275, 5.288961527969836, 6.208377861084597, 4.648066220725364, 5.911792624216093, 5.607487178230956, -0.20123380416201586, 5.0468647614966775, 5.091457101132631, -0.4593799413108963, 6.616135235617996, 5.009396488050088, 4.951118137791288, 4.928257794894698, 5.612245921410684, 4.267913648106319, 5.087860419695151, 5.671830675949701, 5.394924119749225, 4.530623190368478, 4.025555327464254, 6.4785090971857375, 6.376818109840106, 6.2986274207784945, 6.051200314165956, 5.056454019907337, 5.9504804956533, 5.920644247045107, 4.681616380036784, 3.6080837304937408, 5.3255636873963645, 6.5468506573341045, 5.1999668802160315, 4.763436277555557, 5.81877108096302, 4.910621370231391, 5.283798724833646, 4.958169689838277, 5.705193046880756, 6.013419805162039, 4.5872361356118985, 5.90090080656349, 4.014299244681174, 5.092853931442533, 4.333481244286599, 5.31148251050617, 5.282436247236921, 5.132761082826169, 5.633432816378495, 5.251073885575306, 5.942990541313633, -0.5554657808852221, 5.109714545017179, 5.185487086073958, 4.163286370901505, 5.352300710441841, 3.0714025337471185, 4.473356266186451, 5.098154617984325, 5.145824087872295, 5.146096539077341, 5.152172066168404, 5.154163951094372, 5.156505500030624, 5.134891921721964, 5.13087295830263, 5.1298775807811285, 5.1618879691680135, 5.16211389993765, 5.121915710643214, 5.17055600622632, 5.177038280721513, 5.177218720340136, 5.1124448270736575, 5.181121360039666, 5.104157098840645, 5.100935688751361, 5.19367919120036, 5.092874044716442]"
9,"[6.707337709301282, 6.215751345698729, 4.866269586058589, 4.943144360135038, 4.738076403769185, 6.099907594022268, 6.18012136364401, 4.304570164021069, 4.972292507157116, 4.987124983943221, 5.562480526039094, 4.885293860940333, 5.330276314000738, 5.397841708633677, 4.410891660565771, 4.5908287517264545, 5.087871723770556, 4.04026559833482, 7.024030670155785, 4.440172881067435, 5.410190572261757, 4.664058717470752, 5.733145021728218, 5.165938530291286, 4.338379924325605, 6.447463451989931, 5.32033598005437, 4.34925894061457, 5.829634940855612, 5.203189617200948, 5.531928224763899, 4.1611450712014495, 4.717649111254437, 5.387747336275056, 5.156159148998444, 5.377854687138137, 4.625401213604223, 5.413215341940555, 3.1477628325232065, 5.087596054632025, 4.680593837045921, 4.955930651094356, -0.8356386059326288, 5.48167477672603, 5.021242494633601, 5.578983185394476, 5.140521769907152, 4.214374715289275, 3.6514348155841914, 5.465465984042227, 3.8911810792229318, 4.881150183292297, 5.341677590257029, 4.070872326953892, 5.541197991962228, 4.887063159779058, 4.142241319301227, -0.9343342114102475, 4.4109059017440675, 4.29623192553171, 5.679281210756777, 4.630657718323388, 6.7040133007777225, 4.602129479796744, 4.831729944554091, 5.574188675813524, 4.933318618189182, 6.798536410138173, 4.406084910715661, 5.680487015929501, 3.6635698865028132, 4.916500245242314, 3.2051438199141895, -0.031501840293483685, 3.0739671208076995, 5.296699834968045, 5.484903848789043, 4.893914936919958, 5.360901768364036, 5.168274795602812, 5.145824087872295, 5.146096539077341, 5.152172066168404, 5.154163951094372, 5.156505500030624, 5.134891921721964, 5.132761082826169, 5.13087295830263, 5.1298775807811285, 5.1618879691680135, 5.16211389993765, 5.121915710643214, 5.17055600622632, 5.177038280721513, 5.177218720340136, 5.1124448270736575, 5.181121360039666, 5.109714545017179, 5.108111917564875, 5.185487086073958]"
10,"[5.4204994541478, 5.164816592094644, 4.815205185369297, 4.992343693928392, 5.099478957491293, 4.715010242901372, 5.463633792512709, 5.063193103757527, 5.725381789197555, 0.3389473107238501, 4.712095545421191, 5.192547210139598, 5.621369178998737, 5.459669940967675, 5.5567802165732045, 4.6617190436792235, 5.931537374120696, 5.98120906780451, 5.974572541666192, 5.895706405004164, 5.502957878603807, 5.514685907270209, 4.01749198907587, 4.739823130949965, 4.6260840851339236, 5.3742099058012895, 6.58090785807692, 3.2871912512185792, 3.8153187226336307, 4.816240865673608, 6.537404561074341, 6.40506152055773, 6.300459053892159, 5.125040966425618, 5.4106599566437446, 5.342871996025668, 5.024943272259931, 4.745032001793599, 4.4320271789950745, 4.981231533186725, 4.489954155466786, 5.1309791056438385, 5.026271368761842, 4.788451680325744, 5.22557849656784, 5.602981549225518, 4.2153141143217, 6.405424781448136, 5.27352529868301, 3.4010414484832507, 4.591436701402099, 5.326178103968509, 5.557583000009485, 6.182599564713758, 4.40142654603324, 4.867651231076657, 4.439593887046396, 4.952933075751442, 6.204393684277457, 4.681066645886223, 5.155045043519267, 5.377800807133972, 4.832768856477709, 4.5646854105348424, 4.4217049214648245, 5.042522808482165, 4.231361679277052, 5.690617263024178, 6.0193351779992055, 4.893230112309936, 5.147817566532646, 4.336206981352992, 5.069893436127328, 5.334371368731357, 5.849163402936392, 4.868653261528061, 5.843747508748986, 5.261630257115858, 5.52214637500111, 4.433421247822146, 5.145824087872295, 5.146096539077341, 5.140521769907152, 5.152172066168404, 5.154163951094372, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.132761082826169, 5.13087295830263, 5.1298775807811285, 5.1618879691680135, 5.16211389993765, 5.165938530291286, 5.168274795602812, 5.121915710643214, 5.17055600622632, 5.177038280721513, 5.177218720340136, 5.1124448270736575]"
11,"[4.989523978185329, 5.188108176532872, 4.827543160394787, 5.234939117640831, 4.397686746224981, 4.906380875833724, 3.622174045344072, 3.146373645984581, 5.213525794445439, 2.817110176728992, 6.16872045431623, 5.705070256600501, 4.530472248919625, 5.79233364698579, 4.553251853477272, 5.495276593047696, 4.878789342876227, 3.0249093508258356, 4.553507429854028, 6.028311549576253, 5.38514273540625, 4.257872137394355, 5.452702232318936, 3.9903880279472523, 4.69664270045253, 4.850209543914559, 4.50989061301883, 4.536418958586865, 3.950130615272095, 4.9088750584116925, 5.302089682746624, 4.570211972524213, 5.081380892186918, 5.382271016256602, 5.421563703579301, 5.471218718572182, 5.620332827148985, 5.072296416256794, 3.922160629182745, 5.027400474796713, 3.926685070070707, 4.2213409792213, 4.372348034618685, 5.242219654377239, 3.891005281460255, 5.583261068747515, 5.278632191482043, 5.457308041210219, 5.075816248014894, 4.84732613337413, 5.981326235928767, 5.042059887815009, 5.102808394153277, 5.486596509354665, 4.2216331569119845, 5.885885462597267, 3.2336549336103357, 4.651134628335389, 4.082651308999246, 3.145817392248398, 4.512558023702351, 5.111529381961509, 4.036097119082006, 4.186528214556885, 5.411731337098358, 3.9928771706761355, 5.6391028125596145, 5.8825800764030305, 6.834762653616547, 4.408577909446614, 5.010046245996735, 3.3860548299158193, 5.288478981510083, 5.1529964429736035, 5.397501671023856, 5.188404865220702, 4.608398977664568, 5.022611742099709, 5.101101632082688, 6.779381054445212, 5.145824087872295, 5.146096539077341, 5.147817566532646, 5.140521769907152, 5.152172066168404, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.132761082826169, 5.1309791056438385, 5.13087295830263, 5.1298775807811285, 5.1618879691680135, 5.16211389993765, 5.164816592094644, 5.165938530291286, 5.125040966425618, 5.168274795602812]"
12,"[5.017158431111313, 3.9109513403737086, 5.231138974932752, 5.377278719899071, 4.62317705974866, 4.900323943226444, 4.703497137027292, 5.730259093805825, 6.036708538870898, 5.313541137318067, 4.802769237181662, 4.149512119243857, 5.263087566265538, 6.594603569371178, 5.002153945656481, 6.643734537824362, 4.779801271006786, 5.047526697006226, 4.8355146430723766, 7.866034275775753, 3.856293952485536, 3.9245307946542587, 5.38171782259387, 5.07587479737203, 6.58403949514009, 4.649467078493302, 6.53055261867651, 5.295387188153246, 5.355406793115213, 4.883237144385126, 5.771493118585563, 4.769879773139591, 6.6213449844323184, 4.387594686116825, 5.236241692252371, 4.733404086406192, 5.266073624446238, 5.990847388607795, 5.212901923030255, 4.144480229902837, 5.5562380477550875, 4.574841749878688, 3.798675408131288, 5.01699178030367, 3.7682696738580113, 3.8092721218048666, 4.665258970852529, 3.2850234964916254, 5.180749752032894, 2.1800432813425514, 4.758157209614804, 6.8958407618149655, 5.211001106736823, 5.205737910868487, 5.24545016851687, 5.303674531412186, 5.11526398486995, 5.781209706850051, 5.496970562968601, 4.695343999703617, 4.791449884874458, 5.622851598443889, 5.572798066213033, 3.0457665662112454, 4.4296237561053955, 5.9926009922419485, 4.391439948152723, 5.452985111954995, 4.963583766306376, 5.239294700980296, 4.921033831294623, 6.023795209845277, 5.278641866476818, 4.731288010261693, 4.682328422628048, 5.28560808166557, 4.572887730235621, 4.904452433400458, 4.755302367876854, 6.007930403427816, 5.145824087872295, 5.146096539077341, 5.147817566532646, 5.140521769907152, 5.152172066168404, 5.1529964429736035, 5.154163951094372, 5.155045043519267, 5.156159148998444, 5.156505500030624, 5.134891921721964, 5.132761082826169, 5.1309791056438385, 5.13087295830263, 5.1298775807811285, 5.1618879691680135, 5.16211389993765, 5.164816592094644, 5.165938530291286, 5.125040966425618]"
